,recipient,award_type,event_key,year
0,frc1,44,1998cmp,1998
1,frc1,17,1998mi,1998
2,frc1,1,1999cmp,1999
3,frc1,20,1999il,1999
4,frc1,2,1999mi,1999
5,frc1,51,2000cmp,2000
6,frc1,43,2000il,2000
7,frc1,46,2000il,2000
8,frc1,2,2000mi,2000
9,frc1,20,2000mi,2000
10,frc1,43,2000mi,2000
11,frc1,51,2001cmp,2001
12,frc1,1,2001mi2,2001
13,frc1,0,2002gl,2002
14,frc1,30,2003gl,2003
15,frc1,9,2004dt,2004
16,frc1,16,2005gl,2005
17,frc1,30,2006il,2006
18,frc1,9,2008dt,2008
19,frc1,11,2008mo,2008
20,frc1,2,2008mo,2008
21,frc1,13,2009gg,2009
22,frc1,13,2009grl,2009
23,frc1,2,2009grl,2009
24,frc1,2,2010dt,2010
25,frc1,9,2010dt,2010
26,frc1,0,2011dt,2011
27,frc1,1,2011gg,2011
28,frc1,13,2012oc1,2012
29,frc1,9,2014miwat,2014
30,frc1,4,2016micmp,2016
31,frc1,9,2016miket,2016
32,frc1,27,2016mimar,2016
33,frc1,3,2017micmp,2017
34,frc1,27,2017mihow,2017
35,frc1,27,2019micen,2019
36,frc4,1,2006ca,2006
37,frc4,13,2006on,2006
38,frc4,1,2007ca,2007
39,frc4,2,2010nv,2010
40,frc4,18,2016cave,2016
41,frc4,20,2016cave,2016
42,frc4,20,2017calb,2017
43,frc4,11,2018capo,2018
44,frc4,13,2019cabl,2019
45,frc4,17,2019caln,2019
46,frc4,1,2020caln,2020
47,frc4,27,2020caln,2020
48,frc5,2,1999mi,1999
49,frc5,45,1999mi,1999
50,frc5,45,2000mi,2000
51,frc5,17,2001va,2001
52,frc5,40,2001va,2001
53,frc5,22,2002on,2002
54,frc5,20,2003pit,2003
55,frc5,1,2004dt,2004
56,frc5,1,2004pit,2004
57,frc5,26,2004sc,2004
58,frc6,2,2001il,2001
59,frc7,13,1998nj,1998
60,frc7,39,1999pa,1999
61,frc7,13,2000va,2000
62,frc7,1,2002nj,2002
63,frc7,16,2002nj,2002
64,frc7,22,2004md,2004
65,frc7,13,2005md,2005
66,frc7,2,2005md,2005
67,frc8,2,2001ca2,2001
68,frc8,1,2006nv,2006
69,frc8,2,2008sj,2008
70,frc8,29,2009nv,2009
71,frc8,22,2015cama,2015
72,frc8,22,2015casj,2015
73,frc8,2,2016cama,2016
74,frc8,68,2016cama,2016
75,frc8,2,2017casj,2017
76,frc8,22,2017casj,2017
77,frc8,68,2017casj,2017
78,frc8,20,2017cave,2017
79,frc8,22,2017cave,2017
80,frc8,4,2017cave,2017
81,frc8,4,2017cmptx,2017
82,frc8,22,2018azfl,2018
83,frc8,70,2019cacg,2019
84,frc8,22,2019cadm,2019
85,frc8,4,2019cadm,2019
86,frc8,11,2019casj,2019
87,frc8,71,2019ndgf,2019
88,frc8,1,2020utwv,2020
89,frc8,17,2020utwv,2020
90,frc9,2,1999il,1999
91,frc9,2,2001il,2001
92,frc9,13,2002mi,2002
93,frc9,13,2003mi,2003
94,frc9,31,2003mi,2003
95,frc10,10,1998il,1998
96,frc10,46,1999fl,1999
97,frc10,47,1999fl,1999
98,frc10,45,2000fl,2000
99,frc11,60,1999cmp,1999
100,frc11,47,1999nj,1999
101,frc11,2,2002nj,2002
102,frc11,20,2002on,2002
103,frc11,1,2004sc,2004
104,frc11,30,2004sc,2004
105,frc11,0,2005nj,2005
106,frc11,13,2005sc,2005
107,frc11,32,2005sc,2005
108,frc11,1,2006sc,2006
109,frc11,27,2006sc,2006
110,frc11,26,2007ny,2007
111,frc11,1,2008md,2008
112,frc11,2,2008nj,2008
113,frc11,3,2008nj,2008
114,frc11,30,2009nj,2009
115,frc11,38,2010nj,2010
116,frc11,0,2011sc,2011
117,frc11,22,2011sc,2011
118,frc11,23,2011sc,2011
119,frc11,31,2011sc,2011
120,frc11,21,2011va,2011
121,frc11,0,2012nj,2012
122,frc11,31,2012nj,2012
123,frc11,11,2012njf,2012
124,frc11,18,2012njf,2012
125,frc11,18,2012pa,2012
126,frc11,22,2012pa,2012
127,frc11,21,2012sc,2012
128,frc11,31,2012sc,2012
129,frc11,2,2013mrcmp,2013
130,frc11,0,2013njbrg,2013
131,frc11,1,2013njfla,2013
132,frc11,16,2013njfla,2013
133,frc11,1,2013scmb,2013
134,frc11,17,2013scmb,2013
135,frc11,0,2014hiho,2014
136,frc11,1,2014mrcmp,2014
137,frc11,16,2014njfla,2014
138,frc11,16,2014paphi,2014
139,frc11,17,2015hiho,2015
140,frc11,2,2015njfla,2015
141,frc11,13,2015njnbr,2015
142,frc11,2,2015njnbr,2015
143,frc11,9,2015pahat,2015
144,frc11,0,2016flwp,2016
145,frc11,21,2016njfla,2016
146,frc11,1,2016paphi,2016
147,frc11,9,2016paphi,2016
148,frc11,18,2017njfla,2017
149,frc11,30,2017njfla,2017
150,frc11,2,2017njmm,2017
151,frc11,18,2017njski,2017
152,frc11,2,2017njski,2017
153,frc11,0,2018njfla,2018
154,frc11,2,2019mrcmp,2019
155,frc11,17,2019njbri,2019
156,frc11,18,2019njbri,2019
157,frc11,2,2019njbri,2019
158,frc11,17,2019nyli,2019
159,frc11,2,2019nyli,2019
160,frc11,68,2019nyli,2019
161,frc13,20,1997cmp,1997
162,frc13,43,1997il,1997
163,frc13,44,1998il,1998
164,frc14,10,1995nh,1995
165,frc14,17,1996cmp,1996
166,frc14,2,1996cmp,1996
167,frc14,2,1997il,1997
168,frc14,46,1997il,1997
169,frc14,39,1998il,1998
170,frc15,46,1997cmp,1997
171,frc15,30,1997il,1997
172,frc15,47,1999cmp,1999
173,frc15,1,1999fl,1999
174,frc15,20,1999fl,1999
175,frc15,39,2000li,2000
176,frc15,46,2000li,2000
177,frc16,20,1996cmp,1996
178,frc16,51,1996cmp,1996
179,frc16,51,1997cmp,1997
180,frc16,51,1998cmp,1998
181,frc16,1,1998il,1998
182,frc16,43,1998il,1998
183,frc16,2,1998tx,1998
184,frc16,20,1998tx,1998
185,frc16,51,1999cmp,1999
186,frc16,2,1999fl,1999
187,frc16,38,1999fl,1999
188,frc16,39,1999fl,1999
189,frc16,17,1999mi,1999
190,frc16,39,1999mi,1999
191,frc16,0,2000cmp,2000
192,frc16,1,2000fl,2000
193,frc16,38,2000fl,2000
194,frc16,47,2000fl,2000
195,frc16,17,2000il,2000
196,frc16,2,2000il,2000
197,frc16,1,2002mo,2002
198,frc16,26,2002mo,2002
199,frc16,39,2002mo,2002
200,frc16,16,2002tx,2002
201,frc16,2,2002tx,2002
202,frc16,39,2002tx,2002
203,frc16,2,2003il,2003
204,frc16,26,2003mo,2003
205,frc16,9,2003mo,2003
206,frc16,0,2004md,2004
207,frc16,1,2004md,2004
208,frc16,38,2004md,2004
209,frc16,1,2004mo,2004
210,frc16,26,2004mo,2004
211,frc16,3,2005in,2005
212,frc16,30,2005in,2005
213,frc16,17,2005mo,2005
214,frc16,2,2006mo,2006
215,frc16,17,2006sc,2006
216,frc16,2,2006sc,2006
217,frc16,29,2007kc,2007
218,frc16,13,2007tx,2007
219,frc16,2,2008cmp,2008
220,frc16,1,2008cur,2008
221,frc16,16,2008il,2008
222,frc16,31,2008il,2008
223,frc16,1,2008la,2008
224,frc16,22,2008la,2008
225,frc16,31,2008la,2008
226,frc16,3,2009cmp,2009
227,frc16,22,2009il,2009
228,frc16,1,2009mo,2009
229,frc16,29,2009mo,2009
230,frc16,1,2010il,2010
231,frc16,22,2010il,2010
232,frc16,2,2010kc,2010
233,frc16,2,2010new,2010
234,frc16,29,2011il,2011
235,frc16,1,2011stx,2011
236,frc16,22,2011stx,2011
237,frc16,1,2012cmp,2012
238,frc16,1,2012da,2012
239,frc16,29,2012da,2012
240,frc16,1,2012gal,2012
241,frc16,1,2012il,2012
242,frc16,21,2012il,2012
243,frc16,1,2012kc,2012
244,frc16,13,2013arfa,2013
245,frc16,2,2013txlu,2013
246,frc16,1,2014arfa,2014
247,frc16,21,2014arfa,2014
248,frc16,3,2014arfa,2014
249,frc16,4,2014arfa,2014
250,frc16,16,2014cttd,2014
251,frc16,1,2014ohci,2014
252,frc16,21,2014ohci,2014
253,frc16,3,2015arfa,2015
254,frc16,4,2015arfa,2015
255,frc16,22,2015ilch,2015
256,frc16,1,2016alhu,2016
257,frc16,16,2016alhu,2016
258,frc16,4,2016alhu,2016
259,frc16,1,2016arlr,2016
260,frc16,29,2016arlr,2016
261,frc16,1,2017arli,2017
262,frc16,17,2017arli,2017
263,frc16,2,2017ilch,2017
264,frc16,20,2017ilch,2017
265,frc16,1,2018arli,2018
266,frc16,17,2018arli,2018
267,frc16,17,2018carv,2018
268,frc16,1,2018ilch,2018
269,frc16,17,2018ilch,2018
270,frc16,2,2019alhu,2019
271,frc16,21,2019alhu,2019
272,frc16,16,2019ilch,2019
273,frc16,1,2020arli,2020
274,frc16,16,2020arli,2020
275,frc18,44,1997nh,1997
276,frc18,30,1998nh,1998
277,frc19,17,1998nj,1998
278,frc19,1,1999ne,1999
279,frc19,45,1999ne,1999
280,frc19,2,2000li,2000
281,frc19,43,2000li,2000
282,frc19,22,2002ny,2002
283,frc19,22,2003ct,2003
284,frc19,16,2003ny,2003
285,frc19,31,2003ny,2003
286,frc20,46,1993cmp,1993
287,frc20,44,1996cmp,1996
288,frc20,44,1996nh,1996
289,frc20,30,1997cmp,1997
290,frc20,16,2005ct,2005
291,frc20,2,2005ct,2005
292,frc20,26,2006ct,2006
293,frc20,3,2006ct,2006
294,frc20,26,2007ct,2007
295,frc20,1,2008ma,2008
296,frc20,17,2008ma,2008
297,frc20,1,2008roc,2008
298,frc20,13,2009ct,2009
299,frc20,17,2009nh,2009
300,frc20,2,2009nh,2009
301,frc20,22,2010nh,2010
302,frc20,33,2010nh,2010
303,frc20,1,2010wor,2010
304,frc20,12,2010wor,2010
305,frc20,20,2010wor,2010
306,frc20,2,2011nh,2011
307,frc20,1,2012ct,2012
308,frc20,18,2012nh,2012
309,frc20,1,2013ctha,2013
310,frc20,17,2013ctha,2013
311,frc20,18,2013ctha,2013
312,frc20,17,2013mawo,2013
313,frc20,18,2013mawo,2013
314,frc20,2,2013mawo,2013
315,frc20,3,2013mawo,2013
316,frc20,1,2014nyro,2014
