,address,city,country,gmaps_place_id,gmaps_url,home_championship,key,lat,lng,location_name,motto,name,nickname,postal_code,rookie_year,school_name,state_prov,team_number,website
0,,Pontiac,USA,,,{'2020': 'Detroit'},frc1,,,,,FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast,The Juggernauts,48340,1997.0,Oakland Schools Technical Campus Northeast,Michigan,1,http://www.juggernautsteam1.com
1,,Van Nuys,USA,,,{'2020': 'Houston'},frc4,,,,,Boston Scientific/Aerojet Rocketdyne/Raytheon/Lockheed Martin/Sawing Services/SolidWorks/WAAG/Full Scale Effects/Environtology/Avery Dennison/ABACORP CNC Machined Parts/Center for Autism and Related Disorders&High Tech Los Angeles,Team 4 ELEMENT,91406,1997.0,High Tech Los Angeles,California,4,http://www.team4element.com
2,,Melvindale,USA,,,,frc5,,,,,Ford FIRST Robotics & Melvindale High School,Robocards,,1998.0,,MI,5,http://www.robocards.org
3,,Plymouth,USA,,,,frc6,,,,,ATK (Alliant Techsystems) & Hopkins High School,The CogSquad,,1994.0,,MN,6,http://www.cogsquad.org
4,,Baltimore,USA,,,,frc7,,,,,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science",Team007,,,,MD,7,http://www.team007.org
5,,Palo Alto,USA,,,{'2020': 'Houston'},frc8,,,,,Apple/Bayer Fund/KLA Foundation/Arm Inc./TE Connectivity/BAE Systems/Intuitive Foundation/Markforged/Robby Technologies/Notion/Kirk’s Steakburgers/Emotiv/Solidworks/Asian Box/D&K Precision Sheet Metal/Dropbox&Palo Alto High School,Paly Robotics,94301,1996.0,Palo Alto High School,California,8,http://www.palyrobotics.com/
6,,Chicago,USA,,,,frc9,,,,,Roosevelt High School,Roosevelt RoboRiders,,1998.0,,IL,9,http://www.roboriders9.com
7,,St. Louis Park,USA,,,,frc10,,,,,Benilde-St. Margaret's School,Red Knights,,,,MN,10,
8,,Flanders,USA,,,{'2020': 'Detroit'},frc11,,,,,Siemens / National Defense Education Program / BAE Systems / ABB / Chameleon Designs / Nokia / LGS Innovations / Mt. Olive School District & Mt Olive High School,MORT,07836,1997.0,Mt Olive High School,New Jersey,11,http://www.mort11.org
9,,,,,,,frc13,,,,,Team 13,Team 13,,,,,13,
10,,,,,,,frc14,,,,,Team 14,Team 14,,,,,14,
11,,,,,,,frc15,,,,,Team 15,Team 15,,,,,15,
12,,Mountain Home,USA,,,{'2020': 'Houston'},frc16,,,,,Baxter Healthcare Corporation & Mountain Home HS Career Acad,Bomb Squad,72653,1996.0,Mountain Home HS Career Acad,Arkansas,16,http:///frcteam16.org
13,,,,,,,frc17,,,,,Team 17,Team 17,,,,,17,
14,,,,,,,frc18,,,,,Team 18,Team 18,,,,,18,
15,,Greenwich,USA,,,,frc19,,,,,Greenwich High School,Big Red,,1992.0,,CT,19,http://www.ghsteam19.com
